#,Текст вопроса (Напишите вопрос - 100),Прикрепить картинку,Правильный ответ (50),"Комментарий (Напишите комментарий для тех, кто будет оценивать Ваш вопрос - 400)","Описание (Раскройте тему вопроса, напишите авторское объяснение - 1500)",Источник информации (Напишите источник информации - 50 прикрепите ссылку на источник),Неправильный ответ 1 (50),Неправильный ответ 2 (50),Неправильный ответ 3 (50),Тема (50),Категория (50),Раздел (30),Сложность (5-ти бальная шкала сложности),Сложность (10-ти бальная шкала сложности),Сложность (15-ти бальная шкала сложности),Автор (30),Дата подачи вопроса,Рецензент (30),Дата резензии,Дата включения вопроса в базу
13,"Что означает сленговое выражение ""Двигаться на юг!""?",,Ждать падения цены актива,,"South (анг. Юг) – Двигаться на юг – двигаться в нижнюю зону ценового графика, медвежий (нисходящий) тренд",,Ждать роста цены актива,Ехать в Сочи,Ехать к экватору,#термины и понятия,#сленг,,,1,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
14,"Какую валюту на трейдерском сленге называют ""Кенгуру""?",,Австралийский доллар,,,,Новозеландский доллар,Доллар островов Кука,Доллар Тувалу,#термины и понятия,#сленг,,,2,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
15,"Какую валюту на трейдерском сленге называют ""Киви""?",,Новозеландский доллар,,,,Бермудский доллар,Сингапурский доллар,Австралийский доллар,#термины и понятия,#сленг,,,3,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
16,"Какую валюту на трейдерском сленге называют ""Ёж""?",,Японская йена,,,,Индийская рупия,Китайский юань,Сингапурский доллар,#термины и понятия,#сленг,,,3,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
17,"Какую валюту на трейдерском сленге называют ""Чиф""?",,Швейцарский франк,,,,Британский фунт,Американский доллар,Российский рубль,#термины и понятия,#сленг,,,3,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
18,"Какую валюту на трейдерском сленге называют ""Кабель""?",,Британский фунт,,,,Тайский бат,Эскудо Кабо-Верде,Бразильский реал,#термины и понятия,#сленг,,,3,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
19,"Что означает сленговое выражение ""Сидеть на заборе!""?",,Не иметь открытых позиций,,"Пошло от вида графика при боковом движении, без выраженного движения вверх или вниз",,Очень долго держать позицию,Сидеть на чем-то неудобном,Окрывать позицию на пике цены,#термины и понятия,#сленг,,,2,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
20,"Сленговый термин ""Хай"" это -…?",,Исторический максимум цены актива,,"Хай (англ. HIGH – высокий; сленг). Исторические максимумы цены актива (дневные, недельные, годовые и т.д.). Высшая точка на графике за период",,Привет!,Гора в Австралии,Фамилия английского писателя-фантаста,#термины и понятия,#сленг,,,1,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
21,"Сленговый термин ""Перехай"" это -…?",,Новый исторический максимум цены актива,,"Хай (англ. HIGH – высокий; сленг). Исторические максимумы цены актива (дневные, недельные, годовые и т.д.). Высшая точка на графике за период. Перехай - новый, только достигнутый исторический максимум цены актива. Пойти на перехай - попытаться достигнуть более высокой цены, нежели чем предудущая самая высокая цена актива за период.",,И тебе привет!,Достигнуть исторического максимума цены актива,Ничего не значащий набор букв,#термины и понятия,#сленг,,,2,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
22,"Что означает сленговый термин ""Лось""?",,Убыток по открытой позиции,,"Лось (англ. loss – потеря; сленг) – убыток. В биржевом жаргоне существует масса производных выражений с «лосями»: их пасут, кормят, режут и т. д.",,Крупное парнокопытное животное,Усреднение убыточной позиции,Трейдер-новичек,#термины и понятия,#сленг,,,1,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
23,"Кого, на биржевом сленге, называют ""золотым жуком""?",,"Инвестора, считающего что золото - лучший! актив",,"""Золотой жук"" (сленг) — инвестор, убежденный в том, что самым надежным активом является золото. ""Золотыми жуками"" также называют аналитиков, постоянно дающих рекомендацию покупать золото.",,Трейдера с доходностью выше 100 % годовых,Лауреатов известной шведской премии,"Трейдера, севшего в ""ракету""",#термины и понятия,#сленг,,,3,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
24,"""Ралли Санта Клауса"" - это…?",,Рост котировок в последние недели перед Новым годом,,"""Ралли Санта Клауса"" — часто наблюдаемый рост котировок ценных бумаг в период между католическим Рождеством и Новым годом. Есть разные объяснения этому феномену: от праздничного настроения биржевых игроков до попыток крупнейших из них «подтянуть» нужные котировки, чтобы показать более высокие результаты работы своих подразделений по итогам года и получить более высокие бонусы.",,Гонки Санта-Клаусов на оленях,Состязание между Санта-Клаусом и Дедом Морозом,Гонки оленей на Санта-Клаусах,#термины и понятия,#сленг,,,1,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
25,"""Шортокрыл"" - это…?",,"Вынужденное, убыточное закрытие ""шортовых"" позиций",,"""Шортокрыл"" — ситуация, когда в силу значительного роста после падения трейдеры, открывшие короткие позиции (шорты), вынуждены закрывать их по текущей, не выгодной им цене, что вызывает еще больший ее рост.",,"Закрытие ""шортовых"" позиций с большой прибылью",Птица с короткими крыльями,"Закрытие ""шортовых"" позиций с нулевой прибылью",#термины и понятия,#сленг,,,2,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
26,"Сленговое наименование успешного, уверенного в себе Трейдера?",,"""Волк""",,"""Волк"" – успешный, уверенный в себе трейдер, всегда имеющий свое мнение о рынке. ""Волк с Уолл-Стрит"" = ""Успешный трейдер с Уолл-Стрит""",,"""Кабан""","""Бык""","""Лев""",#термины и понятия,#сленг,,,1,,Александр Иванов,29.05.2021,Александр Иванов,29.05.2021,29.05.2021
27,Кому из великих трейдеров принадлежит эта цитата?,"«Я никогда не спорил с ценами. Можно обидеться на рынок, но пользы в этом никакой»",Джесси Ливермор (Jesse Livermore),,"Джесси Лауристон Ливермор (англ. Jesse Lauriston Livermore; 1877—1940) — биржевой спекулянт начала XX века. Знаменит тем, что сумел несколько раз заработать и затем потерять состояния, исчисляющиеся миллионами долларов. Также известен своими короткими продажами (продажами без покрытия) во время биржевых крахов 1907 и 1929 годов, за что получил прозвище «Великий Медведь». Правила работы Джесси Ливермора:
Торгуйте по тренду — покупайте на бычьем рынке и продавайте на медвежьем.
Не входите в рынок, когда нет ясных торговых возможностей.
Торгуйте с использованием основных разворотных точек.
Дождитесь подтверждения своего предположения, прежде чем войти в рынок.
Входите в рынок, как только в дело входят основные разворотные точки.
Дайте прибыли расти. Закрывайте сделки которые показывают потери (хорошие сделки, обычно, сразу же показывают прибыль).
Торгуйте со стоп-ордерами, определёнными прежде, чем вы входите в рынок.
Выходите из сделок, если перспектива дальнейшей прибыли становится неопределённой (тренд завершился или ослабел).
Торгуйте лидирующими инструментами на каждом рынке — торгуйте самыми сильными акциями на бычьем рынке, и самыми слабыми на медвежьем.
Дайте цене определять ваши действия.
Не усредняйте проигрышные позиции.
Не дожидайтесь принудительного закрытия позиций брокером (маржин-колл), своевременно и самостоятельно закрывайте убыточные сделки.",Википедия,Ларри Вильямс (Larry Williams),Ренди Маккей (Randy McKay),Джордж Сорос (George Soros),#Цитаты великих трейдеров,,#Трейдеры,,8,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
28,Кому из великих трейдеров принадлежит эта цитата?,"«Рисковать следует не больше, чем можно себе позволить потерять, но одновременно достаточно для того, чтобы выигрыш получился существенным»",Эд Сейкота (Edward Seykota),,,,Александр Элдер (Alexander Elder),Мартин Шварц (Martin Schwartz),Говард Сейдлер (Howard Seidler),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
29,Кому из великих трейдеров принадлежит эта цитата?,"«От рынка каждый получает то, что желает: или прибыль, или убыток. Есть люди, которым нравится проигрывать, по этой причине, теряя деньги, они выигрывают»",Эд Сейкота (Edward Seykota),,,,Джордж Сорос (George Soros),Ларри Вильямс (Larry Williams),Брюс Ковнер (Bruce Kovner),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
30,Кто является автором этого высказывания?,"«Полагая, что прав, трейдер действует немедленно только для того, чтобы обнаружить, что после того, как он открыл позицию, акция идет в противоположную сторону»",Джесси Ливермор (Jesse Livermore),,"Джесси Лауристон Ливермор (англ. Jesse Lauriston Livermore; 1877—1940) — биржевой спекулянт начала XX века. Знаменит тем, что сумел несколько раз заработать и затем потерять состояния, исчисляющиеся миллионами долларов. Также известен своими короткими продажами (продажами без покрытия) во время биржевых крахов 1907 и 1929 годов, за что получил прозвище «Великий Медведь». Правила работы Джесси Ливермора:
Торгуйте по тренду — покупайте на бычьем рынке и продавайте на медвежьем.
Не входите в рынок, когда нет ясных торговых возможностей.
Торгуйте с использованием основных разворотных точек.
Дождитесь подтверждения своего предположения, прежде чем войти в рынок.
Входите в рынок, как только в дело входят основные разворотные точки.
Дайте прибыли расти. Закрывайте сделки которые показывают потери (хорошие сделки, обычно, сразу же показывают прибыль).
Торгуйте со стоп-ордерами, определёнными прежде, чем вы входите в рынок.
Выходите из сделок, если перспектива дальнейшей прибыли становится неопределённой (тренд завершился или ослабел).
Торгуйте лидирующими инструментами на каждом рынке — торгуйте самыми сильными акциями на бычьем рынке, и самыми слабыми на медвежьем.
Дайте цене определять ваши действия.
Не усредняйте проигрышные позиции.
Не дожидайтесь принудительного закрытия позиций брокером (маржин-колл), своевременно и самостоятельно закрывайте убыточные сделки.",,Мартин Шварц (Martin Schwartz),Брюс Ковнер (Bruce Kovner),Ренди Маккей (Randy McKay),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
31,Кто является автором этого высказывания?,"«Чтобы не иметь убытков при «пилообразных» колебаниях цен, необходимо прекратить торговать»",Эд Сейкота (Edward Seykota),,,,Ричард Деннис (Richard Dennis),Билл Вильямс (Bill Williams),Бернард Барух (Bernard Baruch),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
32,"Кто сказал, что - «Богатые люди не делают больших ставок, и они не ставят каждый день»?",,Ларри Вильямс (Larry Williams),,,Брюс Ковнер (Bruce Kovner),Джордж Сорос (George Soros),Билл Вильямс (Bill Williams),Александр Элдер (Alexander Elder),#Цитаты великих трейдеров,,#Трейдеры,,10,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
33,Кто является автором этого высказывания?,"«Ограничьте размер своих позиций, чтобы страх не мог определять ваши суждения о рынке»",Джо Видич (Joe Vidich),,,,Мартин Шварц (Martin Schwartz),Ричард Деннис (Richard Dennis),Александр Элдер (Alexander Elder),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
34,Кто является автором этого высказывания?,"«Дурак все время делает что-то не то. Дурак с Уолл-стрит считает, что должен постоянно торговать»",Джесси Ливермор (Jesse Livermore),,"Джесси Лауристон Ливермор (англ. Jesse Lauriston Livermore; 1877—1940) — биржевой спекулянт начала XX века. Знаменит тем, что сумел несколько раз заработать и затем потерять состояния, исчисляющиеся миллионами долларов. Также известен своими короткими продажами (продажами без покрытия) во время биржевых крахов 1907 и 1929 годов, за что получил прозвище «Великий Медведь». Правила работы Джесси Ливермора:
Торгуйте по тренду — покупайте на бычьем рынке и продавайте на медвежьем.
Не входите в рынок, когда нет ясных торговых возможностей.
Торгуйте с использованием основных разворотных точек.
Дождитесь подтверждения своего предположения, прежде чем войти в рынок.
Входите в рынок, как только в дело входят основные разворотные точки.
Дайте прибыли расти. Закрывайте сделки которые показывают потери (хорошие сделки, обычно, сразу же показывают прибыль).
Торгуйте со стоп-ордерами, определёнными прежде, чем вы входите в рынок.
Выходите из сделок, если перспектива дальнейшей прибыли становится неопределённой (тренд завершился или ослабел).
Торгуйте лидирующими инструментами на каждом рынке — торгуйте самыми сильными акциями на бычьем рынке, и самыми слабыми на медвежьем.
Дайте цене определять ваши действия.
Не усредняйте проигрышные позиции.
Не дожидайтесь принудительного закрытия позиций брокером (маржин-колл), своевременно и самостоятельно закрывайте убыточные сделки.",,Джордж Сорос (George Soros),Брюс Ковнер (Bruce Kovner),Бернард Барух (Bernard Baruch),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
35,Кому из великих трейдеров принадлежит эта цитата?,"«Предаваться мечтам на бирже — роскошь непозволительная. Если сделки строятся на мечтах, лучше сразу употребить эти деньги на психотерапию»",Александр Элдер (Alexander Elder),,"Александр Элдер (англ. Alexander Elder) — профессиональный трейдер, эксперт, консультант и один из мировых авторитетов в области биржевой торговли, технического анализа, психологии биржевого дела и финансов. Его книга «Trading for a Living» (в России издана под названием «Как играть и выигрывать на бирже»), выпущенная в 1993 году и переведенная на 12 языков, стала международным бестселлером и выдержала несколько изданий. Книга получила большое признание в профессиональной среде. Александр Элдер о своем пути: «Мой путь к биржевому успеху был долгим: то головокружительные взлеты, то мучительные падения. Двигаясь вперед или петляя, я не раз набивал себе шишки и разорял свой биржевой счет. После каждой неудачи я возвращался к работе в клинике, копил деньги, читал, размышлял, уточнял методику, а затем снова начинал играть».",Википедия,Джордж Сорос (George Soros),Ларри Вильямс (Larry Williams),Эд Сейкота (Edward Seykota),#Цитаты великих трейдеров,,#Трейдеры,,8,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
36,Кто является автором этого высказывания?,"«Рынки не формируют дно из-за притока покупателей, они формируют дно, потому что больше нет продавцов»",Томас Демарк (Thomas DeMark),,,,Бернард Барух (Bernard Baruch),Эд Сейкота (Edward Seykota),Ренди Маккей (Randy McKay),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
37,Кто является автором этого высказывания?,"«Полагаю, что начинающие трейдеры торгуют в 3-5 раз больше, чем нужно. Новички берут на себя риски в 5-10% тогда, когда процент должен составлять всего 1-2%»",Брюс Ковнер (Bruce Kovner),,"Брюс Стенли Ковнер (англ. Bruce Stanley Kovner, род. 27 февраля 1945, Бруклин, Нью-Йорк) — американский бизнесмен. Один из ведущих мировых трейдеров межбанковского валютного и фьючерсного рынков. Председатель Американского института предпринимательства. Является одним из ведущих филантропов консервативных учреждений в США.",Википедия,Александр Элдер (Alexander Elder),Ричард Деннис (Richard Dennis),Томас Демарк (Thomas DeMark),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
38,"Кто сказал, что - «Если вы спекулянт, то вам придется принять беспорядок и хаос»?",,Льюис Бэйкон (Louis Bacon),,,,Джордж Сорос (George Soros),Эд Сейкота (Edward Seykota),Билл Вильямс (Bill Williams),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
39,Кто является автором этого высказывания?,"«Никогда не рискуйте больше чем 1% от ваших полных активов в любой сделке. Рискуя 1%, я безразличен к любой конкретной сделке. Постоянное сохранение своего риска на низком уровне является абсолютно необходимым»",Лари Хайт (Larry Hite),,,,Александр Элдер (Alexander Elder),Брюс Ковнер (Bruce Kovner),Ренди Маккей (Randy McKay),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
40,Кому из великих трейдеров принадлежит эта цитата?,"«Игроки терпят неудачу, когда они действуют без плана или уклоняются от выполнения своих планов. Планы создаются личностями путем рассуждений. Импульсивные сделки заключаются взбудораженными членами толпы»",Александр Элдер (Alexander Elder),,"Александр Элдер (англ. Alexander Elder) — профессиональный трейдер, эксперт, консультант и один из мировых авторитетов в области биржевой торговли, технического анализа, психологии биржевого дела и финансов. Его книга «Trading for a Living» (в России издана под названием «Как играть и выигрывать на бирже»), выпущенная в 1993 году и переведенная на 12 языков, стала международным бестселлером и выдержала несколько изданий. Книга получила большое признание в профессиональной среде. Александр Элдер о своем пути: «Мой путь к биржевому успеху был долгим: то головокружительные взлеты, то мучительные падения. Двигаясь вперед или петляя, я не раз набивал себе шишки и разорял свой биржевой счет. После каждой неудачи я возвращался к работе в клинике, копил деньги, читал, размышлял, уточнял методику, а затем снова начинал играть».",,Бернард Барух (Bernard Baruch),Томас Демарк (Thomas DeMark),Эд Сейкота (Edward Seykota),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
41,Кому из великих трейдеров принадлежит эта цитата?,"«На вопрос о том, как торговать прибыльно, вам не ответит ни книга, ни гуру, ни стратегия. Успех приходить со временем, если вы приложили для этого достаточно усилий»",Брэт Стинбаргер (Brett Steenbarger),,,,Джордж Сорос (George Soros),Уоррен Баффетт (Warren Buffett),Александр Элдер (Alexander Elder),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
42,Кому из великих трейдеров принадлежит эта цитата?,"«Если бы большинство трейдеров научились сидеть сложа руки в течение 50 % времени, когда они торгуют, они бы заработали намного больше»",Билл Липшуц (Bill Lipschutz),,,,Уоррен Баффетт (Warren Buffett),Ричард Деннис (Richard Dennis),Билл Вильямс (Bill Williams),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
43,Чья эта цитата - «Успех в торговле приходит от хорошего знания рынков и еще лучшего знания самих себя»?,,Ларри Вильямс (Larry Williams),,,,Александр Элдер (Alexander Elder),Уоррен Баффетт (Warren Buffett),Ренди Маккей (Randy McKay),#Цитаты великих трейдеров,,#Трейдеры,,9,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
44,Кому из великих трейдеров принадлежит эта цитата?,"«Пока не изучена основная литература и не проведено определенное время около успешных трейдеров, можно считать, что торговля для начинающего трейдера ограничена пространством супермаркета»",Эд Сейкота (Edward Seykota),,,,Ларри Вильямс (Larry Williams),Билл Липшуц (Bill Lipschutz),Брэт Стинбаргер (Brett Steenbarger),#Цитаты великих трейдеров,,#Трейдеры,,8,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
45,Кому из великих финансистов принадлежит эта цитата?,"«Каждый известный нам успешный трейдер познал необходимость в последовательности. В этом ключ ко всему — вы должны торговать, используя последовательную методологию. Вы должны следовать определенной стратегии торговли»",Линда Рашке (Linda Raschke),,"Линда Бредфорд Рашке (Linda Raschke) - знаменитая, талантливая женщина-трейдер. Родилась в 1959 году в США. Трейдингом занимается более 35 лет. Начинала с того, что помогала в молодости своему отцу-трейдеру. После этого, - работала в биржевом зале, а уже в 1992 году - основала свою компанию ""LBR Group"". С 1993 года расширила сферу деятельности и начала управлять деньгами инвесторов. В 2002 году основала хедж-фонд, который по оценке Barclays Hedge занял 17-е место из 4 500 активно работающих фондов.
В основном, Рашке торговала фьючерсами S&P 500, но также успешно применяла свои собственные торговые системы на валютном и сырьевом рынках. Как правило, ее позиции краткосрочные, всего по 10-15 минут. Как исключение, иногда позиция удерживается до нескольких недель. В день она проводила 3-4 сделки.
В 2015 году завершила карьеру активного трейдера и начала читать лекции и проводить семинары в кругу профессионального сообщества для аналитиков и маркет-мейкеров.",,Эд Сейкота (Edward Seykota),Бернард Барух (Bernard Baruch),Джордж Сорос (George Soros),"#Цитаты великих трейдеров, #Женщины в трейдинге",,#Трейдеры,,10,,Александр Иванов,03.06.2021,Александр Иванов,03.06.2021,03.06.2021
